시도명,시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜
경기도,김포시,가현농장,닭,산란계,9700.0,경기도 김포시 통진읍 가현리 607번지,37.6747615335301,126.585287300047,2020-11-30,2020-12-13
경기도,김포시,가현농장,닭,산란계,8000.0,경기도 김포시 통진읍 가현리 산 50번지,37.6782104088,126.5840366219,2020-11-30,2020-12-13
경기도,김포시,갈산농장,닭,육계,260.0,경기도 김포시 월곶면 갈산리 440번지 1호,37.7059418899,126.5613487353,2021-04-30,2021-01-09
경기도,김포시,대곶농장,닭,육계,300.0,경기도 김포시 대곶면 율생리 570번지,37.6509045,126.5766937,2020-06-30,2020-12-13
경기도,김포시,대곶농장,닭,육계,300.0,경기도 김포시 대곶면 율생리 570번지,37.6508217219,126.5766436748,2020-07-31,2020-12-13
경기도,김포시,대명농장,닭,육계,20000.0,경기도 김포시 대곶면 대명리 57번지,37.6534223,126.559194,2020-06-30,2020-12-13
경기도,김포시,대명농장,닭,육계,20000.0,경기도 김포시 대곶면 대명리 57번지,37.6534145431,126.5591989649,2020-07-31,2020-12-13
경기도,김포시,도수농장,닭,산란계,20000.0,경기도 김포시 통진읍 마송리 399번지 3호,37.684421941,126.5893489103,2020-11-30,2020-12-13
경기도,김포시,말무리농장,닭,산란계,5000.0,경기도 김포시 통진읍 귀전리 84번지,37.7326313145,126.6068254671,2021-04-30,2021-01-09
경기도,김포시,밤농장,닭,육계,150.0,경기도 김포시 양촌읍 구래리 산 118번지,37.6263081477961,126.635286591147,2021-04-30,2020-12-13
경기도,김포시,봉림농장,닭,산란계,40000.0,경기도 김포시 통진읍 가현리 810번지,37.6674447459,126.5828213367,2021-04-30,2021-01-09
경기도,김포시,수현농장,닭,육계,25000.0,경기도 김포시 월곶면 포내리 251번지 6호,37.724247969,126.5291529365,2021-04-30,2021-01-09
경기도,김포시,연주농장,닭,육계,2500.0,경기도 김포시 양촌읍 학운리 815번지 1호,37.6232433961,126.6014502273,2020-11-30,2020-12-13
경기도,김포시,영철농장,닭,육계,25000.0,경기도 김포시 양촌읍 구래리 652번지 1호,37.630657620568,126.62649694566,2021-04-30,2020-12-13
경기도,김포시,옥화농장,닭,산란계,20.0,경기도 김포시 하성면 마조리 209번지 17호,37.7510897284,126.6357194931,2020-07-31,2020-12-13
경기도,김포시,우정농장,닭,산란계,18000.0,경기도 김포시 대곶면 석정리 산 44번지,37.6701211714,126.5597582902,2020-11-30,2020-12-13
경기도,김포시,유성농장,닭,산란계,32000.0,경기도 김포시 대곶면 석정리 46번지 2호,37.6757943978,126.574043648,2020-11-30,2020-12-13
경기도,김포시,은상농장,닭,산란계,70000.0,경기도 김포시 대곶면 거물대리 77번지,37.6705973825,126.6036689221,2020-07-31,2020-12-13
경기도,김포시,인천농장,닭,육계,7000.0,경기도 김포시 월곶면 조강리 79번지,37.7492197,126.5863882,2020-06-30,2020-12-13
경기도,김포시,장락농장,닭,산란계,50000.0,경기도 김포시 대곶면 쇄암리 445-4번지,37.6708688,126.5499024,2020-06-30,2020-12-13
경기도,김포시,종훈농장,닭,산란계,10000.0,경기도 김포시 통진읍 옹정리 산 58번지,37.6869526306726,126.5640641956,2021-04-30,2020-12-13
경기도,김포시,주일농장,닭,산란계,12000.0,경기도 김포시 양촌읍 학운리 산 20번지,37.62390820566341,126.61716955417984,2020-07-31,2020-12-13
경기도,김포시,천풍농장,닭,산란계,12000.0,경기도 김포시 대곶면 대벽리 1039번지,37.6176925548,126.5679208467,2021-04-30,2021-01-09
경기도,김포시,청솔산업,닭,육계,100.0,경기도 김포시 통진읍 귀전리 1008번지,37.7070605,126.6104822,2020-06-30,2020-12-13
경기도,김포시,초롱농장,닭,산란계,3000.0,경기도 김포시 대곶면 송마리 178번지,37.6632084,126.5711662,2020-06-30,2020-12-13
경기도,김포시,초롱농장,닭,산란계,3000.0,경기도 김포시 대곶면 송마리 178번지,37.6595912686155,126.560982987772,2020-11-30,2020-12-13
경기도,김포시,태경농장,닭,산란계,40000.0,경기도 김포시 월곶면 군하리 323번지 30호,37.7058863162,126.5521491939,2020-07-31,2020-12-13
경기도,김포시,풍진농장,닭,산란계,15000.0,경기도 김포시 대곶면 약암리 808번지,37.6217415118,126.5603174525,2021-04-30,2021-01-09
경기도,김포시,하나농장,닭,육계,38000.0,경기도 김포시 대곶면 대명리 208번지,37.653290478,126.5477331705,2020-07-31,2020-12-13
경기도,김포시,하늘농장,닭,산란계,2500.0,경기도 김포시 하성면 양택리 104번지,37.7355028154,126.617107103,2020-07-31,2020-12-13
경기도,김포시,하성농장,닭,산란계,15000.0,경기도 김포시 하성면 봉성리 65번지 3호,37.6921844112,126.6375947615,2021-04-30,2021-01-09
경기도,김포시,학운농장,닭,육계,25000.0,경기도 김포시 양촌읍 학운리 399번지,37.6259933084,126.6030093086,2020-07-31,2020-12-13
경기도,김포시,호은농장,닭,육계,35000.0,경기도 김포시 하성면 마조리 325번지,37.7498061,126.6284293,2020-06-30,2020-12-13
경기도,김포시,효운농장,닭,육계,35000.0,경기도 김포시 양촌읍 유현리 444번지 1호,37.6347788,126.6155215,2020-06-30,2020-12-13
