시도명,시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
경기도,김포시,OK농장,닭,산란계,60000.0,경기도 김포시 대곶면 대벽리 1020번지,37.6172325,126.5661218,2020-01-31
경기도,김포시,가우농장,닭,산란계,16000.0,경기도 김포시 통진읍 가현리 산50-3번지,37.6775432,126.5853789,2020-01-31
경기도,김포시,가현농장,닭,산란계,9700.0,경기도 김포시 통진읍 가현리 607번지,37.6747615335301,126.585287300047,2020-11-30
경기도,김포시,가현농장,닭,산란계,8000.0,경기도 김포시 통진읍 가현리 산 50번지,37.6782104088,126.5840366219,2020-11-30
경기도,김포시,가현농장,닭,산란계,40000.0,경기도 김포시 통진읍 가현리 604번지 6호 외 2필지,37.6751797644,126.588168356,2021-11-30
경기도,김포시,갈산농장,닭,육계,260.0,경기도 김포시 월곶면 갈산리 440번지 1호,37.7059418899,126.5613487353,2021-04-30
경기도,김포시,거목농장,닭,육계,60000.0,경기도 김포시 통진읍 귀전리 712번지 2호,37.7082536404,126.619154891,2021-06-30
경기도,김포시,규환농장,닭,육계,250.0,경기도 김포시 하성면 시암리 491번지,37.7644981,126.6367157,2020-04-30
경기도,김포시,규환농장,닭,육계,250.0,경기도 김포시 하성면 시암리 491번지,37.7644987125,126.6367102929,2021-11-30
경기도,김포시,금산농장,닭,산란계,45000.0,경기도 김포시 양촌읍 누산리 1036번지 111호,37.6748584657,126.6596922374,2021-06-30
경기도,김포시,금화농장,닭,산란계,227880.0,경기도 김포시 월곶면 고양리 630번지,37.6891258,126.5391846,2019-12-31
경기도,김포시,금화농장,닭,산란계,227880.0,경기도 김포시 월곶면 고양리 629번지,37.6891343701,126.5391946813,2021-07-31
경기도,김포시,기철농장,닭,육계,19000.0,경기도 김포시 양촌읍 양곡리 821번지,37.6556969,126.6330393,2020-05-31
경기도,김포시,김포 자연 농장,닭,산란계,30000.0,경기도 김포시 통진읍 수참리 114번지 1호,37.6856695827,126.6255803816,2021-07-31
경기도,김포시,김포메추리농장,메추리,산란계,260000.0,경기도 김포시 통진읍 가현리 347번지 4호,37.669235,126.5867947,2020-05-31
경기도,김포시,김포축산,닭,산란계,11000.0,경기도 김포시 양촌읍 석모리 547번지 6호,37.6546750028,126.6592735703,2021-09-30
경기도,김포시,깻잎농원,닭,육계,100.0,경기도 김포시 고촌읍 풍곡리 75번지 34호,37.6176310179,126.7674827936,2021-06-30
경기도,김포시,대곶농장,닭,육계,300.0,경기도 김포시 대곶면 율생리 570번지,37.6509045,126.5766937,2020-06-30
경기도,김포시,대곶농장,닭,육계,300.0,경기도 김포시 대곶면 율생리 570번지,37.6508217219,126.5766436748,2020-07-31
경기도,김포시,대명농장,닭,육계,20000.0,경기도 김포시 대곶면 대명리 57번지,37.6534223,126.559194,2020-06-30
경기도,김포시,대명농장,닭,육계,20000.0,경기도 김포시 대곶면 대명리 57번지,37.6534145431,126.5591989649,2020-07-31
경기도,김포시,대명농장Ⅱ,닭,육계,25000.0,경기도 김포시 대곶면 대명리 583번지,37.6550127473,126.5584305851,2021-07-31
경기도,김포시,대포농장,닭,육계,30000.0,경기도 김포시 양촌읍 대포리 261번지 18호,37.6130576,126.6272729,2020-04-30
경기도,김포시,대포농장,닭,육계,25000.0,경기도 김포시 통진읍 동을산리 159-1번지,37.703947,126.6131144,2020-04-30
경기도,김포시,도수농장,닭,산란계,20000.0,경기도 김포시 통진읍 마송리 399번지 3호,37.684421941,126.5893489103,2020-11-30
경기도,김포시,동해농장,닭,산란계,12000.0,경기도 김포시 양촌읍 구래리 742번지,37.6333211,126.6303673,2020-05-31
경기도,김포시,동해농장,닭,산란계,12000.0,경기도 김포시 양촌읍 구래리 742번지,37.630657620568,126.62649694566,2021-09-30
경기도,김포시,두우농장,닭,육계,23000.0,경기도 김포시 양촌읍 구래리 산 198번지,37.6263081477961,126.635286591147,2021-07-31
경기도,김포시,드림농장,닭,산란계,1000.0,경기도 김포시 월곶면 갈산리 200번지,37.7133934557,126.566745942,2021-06-30
